BlockID_Flint,BlockID_Flint2,ward,CommercialBldgCount,CommercialBldgTotArea,Lat,Long,E_Income,M_Income,FID_2,E_Total,E_M_Total,E_MLT05,E_M05_09,E_M10_14,E_M15_17,E_M18_19,E_M20,E_M21,E_M22_24,E_M25_29,E_M30_34,E_M35_39,E_M40_44,E_M45_49,E_M50_54,E_M55_59,E_M60_61,E_M62_64,E_M65_66,E_M67_69,E_M70_74,E_M75_79,E_M80_84,E_M85up,E_F_Total,E_FLT05,E_F05_09,E_F10_14,E_F15_17,E_F18_19,E_F20,E_F21,E_F22_24,E_F25_29,E_F30_34,E_F35_39,E_F40_44,E_F45_49,E_F50_54,E_F55_59,E_F60_61,E_F62_64,E_F65_66,E_F67_69,E_F70_74,E_F75_79,E_F80_84,E_F85up,M_Total,M_M_Total,M_MLT05,M_M05_09,M_M10_14,M_M15_17,M_M18_19,M_M20,M_M21,M_M22_24,M_M25_29,M_M30_34,M_M35_39,M_M40_44,M_M45_49,M_M50_54,M_M55_59,M_M60_61,M_M62_64,M_M65_66,M_M67_69,M_M70_74,M_M75_79,M_M80_84,M_M85up,M_F_Total,M_FLT05,M_F05_09,M_F10_14,M_F15_17,M_F18_19,M_F20,M_F21,M_F22_24,M_F25_29,M_F30_34,M_F35_39,M_F40_44,M_F45_49,M_F50_54,M_F55_59,M_F60_61,M_F62_64,M_F65_66,M_F67_69,M_F70_74,M_F75_79,M_F80_84,M_F85up
block1,1,1,11,35525.45703,43.070266,-83.728011,29234,16947,0,881,370,7,68,0,0,32,0,0,0,0,0,0,24,0,43,6,11,18,8,69,30,20,5,29,511,63,11,0,39,0,0,0,0,49,24,10,26,11,10,61,9,54,40,8,30,5,42,19,272,104,12,66,10,10,51,10,10,10,10,10,10,30,10,47,12,16,20,15,51,26,31,10,32,195,71,24,10,45,10,10,10,10,57,35,19,42,17,17,53,15,46,42,12,23,10,39,25
block10,10,1,0,0,43.064229,-83.716173,29779,26096,9,520,249,65,0,0,0,0,0,0,0,36,24,7,16,0,0,38,0,16,0,36,11,0,0,0,271,0,28,0,0,0,0,0,81,0,0,0,0,0,58,0,13,28,8,23,17,15,0,0,321,178,67,10,10,10,10,10,10,10,56,42,18,26,10,10,36,10,26,10,40,21,10,10,10,160,10,45,10,10,10,10,10,77,10,10,10,10,10,69,10,20,32,14,35,24,19,10,10
block100,100,7,4,34620.77734,43.005303,-83.664936,26401,1365,99,697,244,48,18,7,13,11,0,0,0,0,11,40,13,0,0,8,0,0,0,0,18,30,27,0,453,54,80,31,0,9,0,0,11,25,42,17,12,39,0,83,0,27,0,11,0,12,0,0,337,108,41,24,14,20,18,10,10,10,10,18,46,21,10,10,12,10,10,10,10,22,32,30,10,267,60,98,51,10,15,10,10,18,27,52,22,17,59,10,47,10,27,10,19,10,18,10,10
block101,101,7,24,182764.1836,43.006735,-83.659094,49531,11071,100,654,356,0,19,44,0,0,18,0,12,23,12,0,24,39,8,32,28,8,0,12,0,0,61,16,298,25,0,0,0,0,0,0,0,10,20,7,16,44,16,9,0,0,25,18,51,15,13,29,193,128,10,29,62,10,10,29,10,19,28,21,10,34,43,13,33,34,12,10,18,10,10,37,23,101,40,10,10,10,10,10,10,10,15,31,13,23,44,23,14,10,10,26,21,40,21,19,25
block102,102,7,15,125204.6445,43.003117,-83.669835,13846,12016,101,530,240,0,34,0,29,0,0,0,0,0,38,44,23,9,22,0,22,0,0,0,0,7,0,12,290,36,29,44,12,28,0,0,0,25,0,11,22,0,39,29,11,0,0,0,1,0,0,3,223,112,10,39,10,28,10,10,10,10,10,59,42,33,14,26,10,32,10,10,10,10,18,10,19,155,36,28,45,18,28,10,10,10,29,10,17,34,10,60,27,18,10,10,10,5,10,10,6
block103,103,9,2,94035.23438,42.995855,-83.661379,42446,8061,102,1378,632,42,44,35,11,8,16,8,46,56,32,27,49,35,25,41,25,21,17,21,31,18,7,17,746,66,18,91,27,10,36,8,21,44,52,36,33,76,34,44,8,17,33,20,11,27,7,27,234,109,31,42,30,12,12,27,16,43,36,27,29,39,39,22,29,26,24,15,25,22,17,10,18,177,53,16,61,25,8,34,11,22,32,42,40,29,43,23,30,10,14,25,22,13,18,11,30
block104,104,9,19,202304.4102,42.991694,-83.658892,31250,9648,103,767,311,57,30,5,24,0,0,0,0,24,34,40,12,0,6,18,4,4,18,12,23,0,0,0,456,46,53,35,18,0,0,24,0,7,49,44,19,23,33,29,7,11,20,14,0,0,10,14,244,128,51,45,9,28,10,10,10,10,22,34,36,14,10,9,13,7,7,15,18,19,10,10,10,167,52,46,41,26,10,10,39,10,10,45,37,27,20,45,26,10,12,20,14,10,10,17,16
block105,105,9,12,157143.2539,42.998919,-83.645679,6759,3711,104,1330,635,241,53,8,24,46,26,26,22,43,15,56,11,0,14,45,0,0,0,0,5,0,0,0,695,163,99,25,24,16,61,0,43,83,9,46,45,48,0,17,0,5,0,6,0,0,0,5,349,220,123,35,15,37,34,43,40,35,47,25,48,18,10,22,35,10,10,10,10,9,10,10,10,198,108,67,28,36,25,52,10,38,60,13,36,45,43,10,21,10,8,10,11,10,10,10,9
block106,106,9,22,261337.1602,42.9919,-83.647173,15625,15445,105,828,407,70,90,71,17,17,0,0,0,37,13,0,0,36,8,30,8,10,0,0,0,0,0,0,421,55,26,44,18,0,0,0,28,75,64,46,0,6,5,15,0,29,0,5,0,0,5,0,245,156,51,58,64,27,27,10,10,10,33,17,10,10,38,13,35,13,15,10,10,10,10,10,10,132,40,40,33,25,10,10,10,35,39,44,42,10,12,10,16,10,29,10,10,10,10,9,10
block107,107,9,35,344206,42.984229,-83.673224,38929,15248,106,895,447,0,23,61,39,32,13,0,2,1,65,59,44,11,11,38,30,6,0,0,0,0,12,0,448,13,0,10,84,11,0,2,0,14,65,43,28,64,63,5,1,7,10,0,12,0,0,16,261,143,10,25,53,54,47,21,10,4,3,63,59,52,18,16,40,46,13,10,10,10,10,17,10,152,21,10,15,71,18,10,4,10,23,66,58,31,62,61,10,4,13,16,10,18,10,10,21
block108,108,9,6,9328.785156,42.986067,-83.665428,33953,10607,107,1445,579,52,44,8,0,0,0,0,53,28,24,39,23,28,64,87,7,24,28,13,0,12,22,23,866,90,83,59,27,0,0,5,39,97,17,39,35,28,87,71,0,52,10,0,12,47,28,40,396,155,65,37,13,10,10,10,10,57,44,35,43,29,30,52,72,11,24,33,19,10,18,25,30,284,83,75,54,36,10,10,16,60,77,29,41,40,26,70,46,10,51,17,10,17,59,34,55
block109,109,9,10,215599.3672,42.984999,-83.657968,34107,13423,108,827,417,41,6,27,4,0,0,0,15,53,23,42,21,10,9,85,37,7,14,0,11,0,0,12,410,26,57,0,14,52,9,0,27,7,34,16,21,8,8,24,0,18,0,0,56,9,13,11,305,149,49,14,25,6,10,10,10,24,40,30,36,22,17,14,50,48,12,22,10,20,10,10,18,189,36,60,10,26,39,15,10,35,15,30,28,23,13,14,30,10,22,10,10,33,15,18,18
