g,h,Value
block1,block1,0
block1,block10,1643
block1,block100,13607
block1,block101,13998
block1,block102,13603
block1,block103,14650
block1,block104,14240
block1,block105,15796
block1,block106,14875
block1,block107,16193
block1,block108,16432
block1,block109,17356
block1,block11,1987
block1,block110,8320
block1,block111,8450
block1,block112,8913
block1,block113,9082
block1,block114,9865
block1,block115,9742
block1,block116,9507
block1,block117,8985
block1,block118,8811
block1,block119,9323
block1,block12,2614
block1,block120,9683
block1,block121,13672
block1,block122,10788
block1,block123,15205
block1,block124,15216
block1,block125,16108
block1,block126,1949
block1,block127,4060
block1,block128,8460
block1,block129,16008
block1,block13,3037
block1,block130,11506
block1,block131,16066
block1,block132,16263
block1,block133,17108
block1,block134,7531
block1,block135,4940
block1,block14,1745
block1,block15,2044
block1,block16,2173
block1,block17,2673
block1,block18,3459
block1,block19,3401
block1,block2,1048
block1,block20,3815
block1,block21,2603
block1,block22,2806
block1,block23,3423
block1,block24,3203
block1,block25,3017
block1,block26,4427
block1,block27,4256
block1,block28,3741
block1,block29,4110
block1,block3,1812
block1,block30,3882
block1,block31,4591
block1,block32,5520
block1,block33,4248
block1,block34,4831
block1,block35,5181
block1,block36,5555
block1,block37,5400
block1,block38,5218
block1,block39,5793
block1,block4,2451
block1,block40,6308
block1,block41,5966
block1,block42,4630
block1,block43,5189
block1,block44,5576
block1,block45,5787
block1,block46,5642
block1,block47,6152
block1,block48,6670
block1,block49,6212
block1,block5,3261
block1,block50,6813
block1,block51,6800
block1,block52,6608
block1,block53,7719
block1,block54,7565
block1,block55,7215
block1,block56,7235
block1,block57,7958
block1,block58,7531
block1,block59,7829
block1,block6,2178
block1,block60,4123
block1,block61,4384
block1,block62,6221
block1,block63,6418
block1,block64,8839
block1,block65,8446
block1,block66,9511
block1,block67,4768
block1,block68,5478
block1,block69,7999
block1,block7,2944
block1,block70,7783
block1,block71,8336
block1,block72,8822
block1,block73,8211
block1,block74,9377
block1,block75,8483
block1,block76,9144
block1,block77,8401
block1,block78,9102
block1,block79,9456
block1,block8,788
block1,block80,10802
block1,block81,10005
block1,block82,11759
block1,block83,9503
block1,block84,9881
block1,block85,9061
block1,block86,9853
block1,block87,10474
block1,block88,10744
block1,block89,9219
block1,block9,1315
block1,block90,7880
block1,block91,9184
block1,block92,11710
block1,block93,12267
block1,block94,12158
block1,block95,10740
block1,block96,13382
block1,block97,13313
block1,block98,12664
block1,block99,12973
block1,C1,4203
block1,C10,17267
block1,C11,9245
block1,C12,92
block1,C13,7540
block1,C14,6686
block1,C15,7661
block1,C16,7994
block1,C17,9409
block1,C18,16899
block1,C19,5077
block1,C2,8640
block1,C20,1675
block1,C21,4628
block1,C22,2367
block1,C23,17089
block1,C24,11523
block1,C25,9612
block1,C26,12571
block1,C27,5939
block1,C28,10265
block1,C29,2964
block1,C3,2390
block1,C30,8196
block1,C31,3797
block1,C32,5835
block1,C33,4765
block1,C34,2560
block1,C35,39
block1,C36,6290
block1,C37,16025
block1,C38,12279
block1,C39,13845
block1,C4,11450
block1,C40,11730
block1,C41,4322
block1,C42,7366
block1,C43,5005
block1,C44,3083
block1,C45,8379
block1,C46,10685
block1,C47,13835
block1,C48,13617
block1,C49,9521
block1,C5,6940
block1,C50,13060
block1,C51,7680
block1,C52,8316
block1,C53,9171
block1,C54,15841
block1,C6,6989
block1,C7,9275
block1,C8,12010
block1,C9,1394
block10,block1,1643
block10,block10,0
block10,block100,11477
block10,block101,11868
block10,block102,11473
block10,block103,13015
block10,block104,12605
block10,block105,14161
block10,block106,13240
block10,block107,14063
block10,block108,14302
block10,block109,15226
block10,block11,688
block10,block110,8413
block10,block111,7917
block10,block112,12952
block10,block113,8616
block10,block114,8806
block10,block115,8843
block10,block116,7530
block10,block117,7654
block10,block118,7004
block10,block119,8376
block10,block12,1615
block10,block120,7877
block10,block121,11542
block10,block122,9287
block10,block123,13076
block10,block124,13086
block10,block125,13978
block10,block126,2302
block10,block127,4413
block10,block128,8730
block10,block129,13878
block10,block13,2106
block10,block130,10005
block10,block131,13936
block10,block132,14133
block10,block133,14873
block10,block134,5899
block10,block135,3305
block10,block14,1875
block10,block15,1590
block10,block16,864
block10,block17,1038
block10,block18,1579
block10,block19,1813
block10,block2,1169
block10,block20,2227
block10,block21,2533
block10,block22,1921
block10,block23,2133
block10,block24,2709
block10,block25,2564
block10,block26,2830
block10,block27,2660
block10,block28,3980
block10,block29,3556
block10,block3,1300
block10,block30,2871
block10,block31,4479
block10,block32,3749
block10,block33,2613
block10,block34,3196
block10,block35,3545
block10,block36,3920
block10,block37,3810
block10,block38,3622
block10,block39,4158
block10,block4,1474
block10,block40,4712
block10,block41,4487
block10,block42,4983
block10,block43,5120
block10,block44,4819
block10,block45,5879
block10,block46,5383
block10,block47,5256
block10,block48,5066
block10,block49,4405
block10,block5,2263
block10,block50,5091
block10,block51,5204
block10,block52,4802
block10,block53,5912
block10,block54,5758
block10,block55,5843
block10,block56,5718
block10,block57,6151
block10,block58,7781
block10,block59,7319
block10,block6,1202
block10,block60,3125
block10,block61,3385
block10,block62,5509
block10,block63,5307
block10,block64,8540
block10,block65,6811
block10,block66,7181
block10,block67,3133
block10,block68,3846
block10,block69,6364
block10,block7,1946
block10,block70,6187
block10,block71,6701
block10,block72,7187
block10,block73,6615
block10,block74,7741
block10,block75,6848
block10,block76,7509
block10,block77,6766
block10,block78,7467
block10,block79,7821
block10,block8,911
block10,block80,8672
block10,block81,7875
block10,block82,7882
block10,block83,7868
block10,block84,8246
block10,block85,7426
block10,block86,8218
block10,block87,8839
block10,block88,9109
block10,block89,10295
block10,block9,385
block10,block90,6073
block10,block91,7633
block10,block92,9580
block10,block93,10137
block10,block94,10029
block10,block95,9105
block10,block96,10319
block10,block97,11678
block10,block98,11029
block10,block99,10843
block10,C1,2568
block10,C10,9382
block10,C11,7598
block10,C12,1551
block10,C13,7772
block10,C14,5054
block10,C15,6029
block10,C16,6188
block10,C17,7603
block10,C18,14769
block10,C19,3487
block10,C2,6833
block10,C20,699
block10,C21,2993
block10,C22,1913
block10,C23,14586
block10,C24,9888
block10,C25,7976
block10,C26,10936
block10,C27,5266
block10,C28,8630
block10,C29,1966
block10,C3,755
block10,C30,6561
block10,C31,2201
block10,C32,5536
block10,C33,3707
block10,C34,1562
block10,C35,1682
block10,C36,4918
block10,C37,13895
block10,C38,10149
block10,C39,12210
block10,C4,9320
block10,C40,9600
block10,C41,4675
block10,C42,5769
block10,C43,5358
block10,C44,1448
block10,C45,6744
block10,C46,8878
block10,C47,11705
block10,C48,11487
block10,C49,7886
block10,C5,5857
block10,C50,10930
block10,C51,5873
block10,C52,6720
block10,C53,7364
block10,C54,14206
block10,C6,7081
block10,C7,7469
block10,C8,9880
block10,C9,2062
block100,block1,13627
block100,block10,12015
block100,block100,0
block100,block101,592
block100,block102,632
block100,block103,3264
block100,block104,2854
block100,block105,4410
block100,block106,3489
block100,block107,4445
block100,block108,4324
block100,block109,4022
block100,block11,11598
block100,block110,7033
block100,block111,6360
block100,block112,7238
block100,block113,6590
block100,block114,6866
block100,block115,6460
block100,block116,5568
block100,block117,5417
block100,block118,4129
block100,block119,6169
block100,block12,11059
block100,block120,3094
block100,block121,2708
block100,block122,3749
block100,block123,3901
block100,block124,4393
block100,block125,4731
block100,block126,11753
block100,block127,7849
block100,block128,7173
block100,block129,5185
block100,block13,10641
block100,block130,4468
block100,block131,4928
block100,block132,5440
block100,block133,6179
block100,block134,5031
block100,block135,9446
block100,block14,13154
block100,block15,12869
block100,block16,12126
block100,block17,11627
block100,block18,9821
block100,block19,9442
block100,block2,12957
block100,block20,9028
block100,block21,11177
block100,block22,10565
block100,block23,7925
block100,block24,8871
block100,block25,8329
block100,block26,7390
block100,block27,9135
block100,block28,8089
block100,block29,7956
block100,block3,12644
block100,block30,7459
block100,block31,7439
block100,block32,6798
block100,block33,7061
block100,block34,6471
block100,block35,6116
block100,block36,5746
block100,block37,6270
block100,block38,6640
block100,block39,5885
block100,block4,11854
block100,block40,5503
block100,block41,6031
block100,block42,7730
block100,block43,7058
block100,block44,6536
block100,block45,7647
block100,block46,6970
block100,block47,7069
block100,block48,5998
block100,block49,5566
block100,block5,11062
block100,block50,5077
block100,block51,4571
block100,block52,5429
block100,block53,4733
block100,block54,5136
block100,block55,6945
block100,block56,6060
block100,block57,5927
block100,block58,6725
block100,block59,6356
block100,block6,12137
block100,block60,10206
block100,block61,8549
block100,block62,9819
block100,block63,9616
block100,block64,8541
block100,block65,7510
block100,block66,7438
block100,block67,8283
block100,block68,7079
block100,block69,6691
block100,block7,11381
block100,block70,5344
block100,block71,6189
block100,block72,5696
block100,block73,4649
block100,block74,4909
block100,block75,5820
block100,block76,5171
block100,block77,6205
block100,block78,6340
block100,block79,6941
block100,block8,12917
block100,block80,3828
block100,block81,4628
block100,block82,4887
block100,block83,4598
block100,block84,4266
block100,block85,5721
block100,block86,6945
block100,block87,5567
block100,block88,6012
block100,block89,2731
block100,block9,12379
block100,block90,4226
block100,block91,3262
block100,block92,2861
block100,block93,1672
block100,block94,3931
block100,block95,3430
block100,block96,3843
block100,block97,2569
block100,block98,2655
block100,block99,1412
block100,C1,9708
block100,C10,3568
block100,C11,5361
block100,C12,13614
block100,C13,6716
block100,C14,5221
block100,C15,4149
block100,C16,5188
block100,C17,5220
block100,C18,3565
block100,C19,6655
block100,C2,3264
block100,C20,12614
block100,C21,6914
block100,C22,10942
block100,C23,5892
block100,C24,3412
block100,C25,5846
block100,C26,4592
block100,C27,6283
block100,C28,4460
block100,C29,11359
block100,C3,11260
block100,C30,7029
block100,C31,9419
block100,C32,10199
block100,C33,7318
block100,C34,11622
block100,C35,13588
block100,C36,6313
block100,C37,4811
block100,C38,2498
block100,C39,2459
block100,C4,2883
block100,C40,3020
block100,C41,8111
