VISIT_AREA_NM,REVISIT_INTENTION,RCMDTN_INTENTION,X_COORD,Y_COORD,Total_value
(재)수원컨벤션센터,7,8,127.0595135,37.2858235,15
100년가 공화춘 마포점,3,3,126.9447368,37.54104827,6
101닭갈비,4,4,127.365089,37.76864873,8
1059-3 Coffee House,5,5,127.0218714,37.25470186,10
108하늘계단,14,19,126.9818899,37.54644598,33
10월 19일,4,5,127.0106617,37.48123943,9
128pan,10,10,127.004446,37.58330614,20
12체어,5,5,126.9920009,37.53394843,10
133번지국밥,5,5,127.2058776,37.23612559,10
143베이커리&커피카페,5,5,127.0164493,37.27963636,10
153은하캠프,4,6,127.5087896,37.84282543,10
153포인츠부대찌개 용인본점,4,4,127.2344314,37.24864206,8
16호원조할머니손칼국수,5,5,126.5709075,37.27052255,10
178-12카페,9,10,127.5371278,37.39559121,19
1914라운지&바,4,4,127.0414919,37.50288653,8
1925 서울역그릴,2,3,127.1044462,37.51379215,5
1953연남옥,2,2,126.9033572,37.55331307,4
1967우육면 본점,2,3,126.7721389,37.65579497,5
1992 남산돈까스,3,3,126.9795066,37.5560558,6
1인1잔,14,14,126.9379326,37.64097031,28
2001아울렛 중계점,5,5,127.0678936,37.64121848,10
2001아울렛 천호점,5,4,127.1260373,37.5410534,9
2022 서신면 한마음 어울림 마당 축제,5,5,126.492769,33.50707896,10
2022계룡세계군문화엑스포 제1주차장,5,5,127.2314183,36.3178296,10
23호할머니손칼국수,3,4,126.5734173,37.28609337,7
24게스트하우스 동대문마켓점,3,3,127.010182,37.57064411,6
24게스트하우스 잠실점,4,4,127.0893764,37.50332042,8
24시무인카페 만월경상계점,4,4,127.0513554,37.67343063,8
24시뼈다귀감자탕,10,10,127.0061435,37.53336289,20
257의정부부대찌개 위례점,3,3,127.1398129,37.46736454,6
260도 송도유원지점,5,5,126.6553168,37.41728084,10
26호까치할머니 본관,5,5,126.6058175,37.23921213,10
272카페,2,3,126.7306502,37.36818708,5
29CM SEONGSU,4,3,127.0526184,37.54524903,7
3.1독립선언광장,5,5,126.9847295,37.5723041,10
3.5CM왕소금구이 새절역점,5,5,126.9155205,37.59165433,10
30.0커피,3,3,126.6574235,37.42326789,6
30년전통의메밀전집,3,4,127.7273222,37.87731582,7
3355펍,4,4,126.8921198,37.50436456,8
33마켓,3,4,126.9736676,37.57899564,7
33호할머니칼국수,5,5,126.5704998,37.27203211,10
365대부도캠핑시티,6,6,126.6448612,37.20136115,12
365북스,2,3,127.2979262,37.1736836,5
37.5 안성공도점,3,3,127.1962264,37.01028172,6
37.5 안성점,10,10,127.2448294,37.00242051,20
37.5시그니처,3,3,127.0226579,37.52012516,6
37.5케이티엑스 광명역점,4,4,126.8826232,37.4190189,8
3게스트하우스,6,8,126.9849926,37.5584369,14
3노트커피,3,3,126.9298431,37.52005243,6
3일한우국밥,3,3,126.9040519,37.51992618,6
3킬로미터,3,3,126.9698053,37.54423066,6
47번가찻집,3,4,126.9844551,37.57453583,7
5TO7,4,4,127.0433219,37.54608263,8
5번지짬뽕,3,2,126.7859384,37.40680252,5
60계 과천점,4,3,126.9930607,37.42790694,7
60년전통 신촌황소곱창 인계직영점,5,5,127.0307638,37.26503664,10
638DENO탄탄면,7,8,127.0686076,37.54520929,15
63뷔페 파빌리온,11,12,126.9401711,37.51981485,23
63스퀘어,9,8,126.9402004,37.51989955,17
63아트홀,7,7,126.9404583,37.51990689,14
63전망대,7,8,126.9402547,37.51988517,15
79파운야드 송도트리플타워점,4,4,126.6607196,37.38252441,8
8810리스트레토바,5,5,126.9230036,37.55988137,10
